last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Pujols, Albert,405395,2022,42,.499,.365,.343,91.2,16.4,34.5,12,7,47.3,63.5,34.9,38,29.5,20.5,12,22.6,
Cabrera, Miguel,408234,2022,39,.331,.275,.290,89.9,5,35.2,4.7,3.7,38.2,71.3,31.5,52.5,19.6,25.9,2,23.1,
Molina, Yadier,425877,2022,39,.328,.254,.251,84.7,16.9,34.1,3.1,4.9,26,75.2,41.3,39,29.6,20.2,11.2,21.8,
Cano, Robinson,429664,2022,39,.299,.237,.239,88.2,5.8,29.3,4,4,41.3,77.3,40,54.7,18.7,20,6.7,24.3,
Suzuki, Kurt,435559,2022,38,.281,.255,.276,85.2,24.1,31,3.5,7.1,26.5,68.1,27.4,30.1,30.1,21.2,18.6,24.2,
Cruz Jr., Nelson,443558,2022,41,.399,.320,.323,90.9,7.2,28,9.3,4.5,46.1,72.4,31.1,53,19.3,22.9,4.8,25.5,
Peralta, David,444482,2022,34,.399,.313,.318,90.3,15.1,35,8.5,9.1,44.4,69.2,32.9,36.3,28.4,26.3,9.1,27.6,
Escobar, Alcides,444876,2022,35,.264,.233,.252,81.8,15.7,39.1,1.1,1.1,17.4,70.8,36.6,38,20.7,30.4,10.9,28.2,
Longoria, Evan,446334,2022,36,.437,.324,.309,91.1,18.2,33.3,12.4,10.2,46.8,62.7,26.1,37.1,29,24.2,9.7,25.2,
Blackmon, Charlie,453568,2022,35,.376,.301,.308,86.2,12.4,36.7,4.4,4,30.6,70.1,32,44.4,23.8,25.7,6.1,27.9,
Maldonado, Martin,455117,2022,35,.325,.253,.245,88.4,14.7,31.6,8.1,6,40.2,69.1,31,43.6,29.5,20.9,6,22.4,
Chirinos, Robinson,455139,2022,38,.281,.245,.255,84.8,17.6,30.8,6.9,5.4,33.1,72,31.1,40.8,25.4,20.8,13.1,23.7,
Cain, Lorenzo,456715,2022,36,.253,.230,.250,87.9,3.8,21.8,0,8.2,36.4,73.7,32.2,59.1,15.5,20,5.5,28.3,
Solano, Donovan,456781,2022,34,.393,.315,.325,88.3,10.7,36.1,5.9,6.8,41.2,66.5,32.2,45.2,23.3,27.4,4.1,25.8,
McCutchen, Andrew,457705,2022,35,.406,.325,.329,89.1,13.2,36.2,8.6,5.8,40,68.5,20.8,41.8,28.1,24.1,6.1,28.9,
Turner, Justin,457759,2022,37,.427,.339,.343,89.5,18.4,40.6,8,6.2,40.6,70.4,26.7,32.8,33.3,27.9,5.9,25.0,
Votto, Joey,458015,2022,38,.390,.322,.331,89.7,14.2,32.9,11.1,3.1,41.3,70.8,23,44.9,31.1,20,4,25.3,
Andrus, Elvis,462101,2022,33,.360,.293,.300,87.9,11.9,29.1,4.5,3.6,34.8,62.3,29.4,46.5,22.1,22.8,8.6,26.0,
Santana, Carlos,467793,2022,36,.438,.352,.361,90.7,15.4,31.6,9.3,7.2,44.9,63.9,21.7,39.1,28.4,22.6,9.9,25.7,
Belt, Brandon,474832,2022,34,.412,.326,.328,88.4,23.4,38.5,12.6,6.3,38.5,75.5,21.2,29.3,37.9,22.4,10.3,24.4,
Lowrie, Jed,476704,2022,38,.281,.247,.264,86.2,16.3,26.9,3.1,3.8,30.8,72.9,23.6,41.5,29.2,21.5,7.7,25.0,
Brantley Jr., Michael,488726,2022,35,.467,.374,.390,89.8,10.7,39.5,6,6.5,45.1,62.3,21.9,44.2,22.8,30.7,2.3,25.3,
Gurriel, Yuli,493329,2022,38,.319,.271,.286,88.2,14.6,30.3,1.9,4.4,35.6,63.1,34.9,41.7,24.6,23.8,9.9,26.9,
Rojas, Miguel,500743,2022,33,.347,.293,.310,86.1,10.1,33.1,1.9,5.6,27.1,66.2,30.4,47.1,19.6,26.8,6.5,26.4,
Escobar, Eduardo,500871,2022,33,.427,.314,.300,88.3,20.6,38.7,9.4,8.9,37.6,73.5,34,30.9,32.8,26.9,9.4,27.9,
Adrianza, Ehire,501303,2022,32,.288,.274,.306,84.6,12.6,30.1,1.4,1.4,21.9,62.5,26.2,50.7,17.8,20.5,11,26.5,
Pham, Tommy,502054,2022,34,.383,.311,.315,92.2,7.7,33.2,7.9,8.2,48.5,60.8,21.6,48.2,22.4,24.7,4.6,27.9,
Martinez, J.D.,502110,2022,34,.471,.349,.330,89.1,14.1,42,12.5,8.9,41.7,74.9,31.9,38.2,30.8,26.7,4.3,26.1,
Goldschmidt, Paul,502671,2022,34,.482,.367,.357,90.8,15.7,31.8,11.6,9.9,47.4,59.8,25.1,40.8,28.8,22.9,7.5,26.2,
Gonzalez, Marwin,503556,2022,33,.345,.282,.286,88,19.4,34.1,5.9,5.9,37.3,63.1,37.6,37.8,24.4,24.4,13.3,26.3,
Altuve, Jose,514888,2022,32,.440,.354,.362,85.9,16.1,35.4,7.7,6.6,29.7,64,28.6,41,25.6,23.6,9.8,28.1,
Hernandez, Cesar,514917,2022,32,.329,.290,.312,84.8,9.3,33.3,2.4,4.9,29.7,68.7,25.9,48.6,19.3,26.4,5.8,28.3,
Segura, Jean,516416,2022,32,.363,.303,.316,87.6,4.3,28.3,4.4,4,38.4,64.4,34.7,56.2,15.8,20.9,7.1,27.7,
Marte, Starling,516782,2022,33,.428,.336,.332,86.8,7.5,38.5,6.8,7,33.9,67.5,32.8,50.1,20.1,26,3.8,28.0,
Culberson, Charlie,518586,2022,33,.303,.251,.258,85.3,5.9,28.4,1.1,9.1,27.3,76.4,42.2,58,17,19.3,5.7,27.9,
d'Arnaud, Travis,518595,2022,33,.412,.313,.300,88.5,11.8,35,8.5,6.2,38.9,70.1,35.5,45.4,25.2,22.9,6.5,26.1,
Donaldson, Josh,518626,2022,36,.370,.299,.303,90.7,12,34.8,9.8,6.3,43.3,66.6,29.3,43.5,25.9,24.1,6.5,25.7,
Freeman, Freddie,518692,2022,32,.538,.403,.400,91.3,13.6,42.9,9.9,8.5,47.8,73.9,27.3,38.9,28.4,29.8,2.9,26.9,
Grandal, Yasmani,518735,2022,33,.319,.290,.317,90,12.1,30,4.8,6.4,40,58.6,20.8,43.6,22,27.2,7.2,22.0,
Heyward, Jason,518792,2022,32,.322,.278,.290,87.6,13.1,26.7,4.8,3.8,38.1,66.5,31.2,45.7,21,21,12.4,27.1,
LeMahieu, DJ,518934,2022,33,.403,.344,.369,89.2,3,32.8,5.3,6.8,41.1,53.9,24.5,54.6,17,25.6,2.8,26.4,
Moustakas, Mike,519058,2022,33,.307,.270,.281,87.6,19.4,36.1,6.1,5.6,33.9,74.2,37.4,35,25.6,23.3,16.1,25.0,
Rizzo, Anthony,519203,2022,32,.454,.349,.350,89.4,19.3,34.2,10.9,7.7,41,64.1,29.7,33.3,35,21.6,10.1,25.5,
Romine, Austin,519222,2022,33,.248,.195,.190,87.2,9.5,22.4,4.7,2.4,33.3,71.1,38,55.3,21.2,14.1,9.4,24.8,
Stanton, Giancarlo,519317,2022,32,.477,.351,.328,95,10.8,26.9,19.3,4.5,52.3,62.1,26.8,47,24.6,20.8,7.6,24.5,
Vogt, Stephen,519390,2022,37,.350,.282,.287,87,21,38.9,7.9,4,27.8,65.4,30.5,31,35.7,23.8,9.5,25.7,
Perez, Salvador,521692,2022,32,.473,.326,.285,91.4,17.8,34.8,11.2,8,49,77.1,43.2,36.9,34.2,21.2,7.7,25.3,
Flores, Wilmer,527038,2022,30,.370,.310,.322,87.8,20.7,35.7,6.3,5.4,35.4,66.5,26.6,34.7,31.5,24.2,9.6,25.2,
Garcia, Avisail,541645,2022,31,.366,.281,.273,88.7,2.8,27.6,6.4,8.8,44.8,82.1,40.7,56,22,19.6,2.4,28.3,
Bethancourt, Christian,542194,2022,30,.449,.318,.286,90.1,9.4,31.4,11.7,6.3,44.8,81,44.3,46.4,23.8,23.8,5.9,28.1,
Ozuna, Marcell,542303,2022,31,.478,.337,.303,89.4,16.5,31.8,13.1,4,43.8,68.2,33.4,38.4,30.7,20.7,10.2,26.6,
Villar, Jonathan,542340,2022,31,.283,.247,.262,89.6,-0.7,24.7,2.7,6.2,40.4,75.1,29.1,61.6,17.8,19.2,1.4,26.8,
Ortega, Rafael,542364,2022,31,.346,.307,.334,87.2,17.1,37.6,4.8,5.2,33.7,67.5,25.8,34.4,33.2,24.8,7.6,27.0,
Aguilar, Jesus,542583,2022,32,.393,.298,.288,87.7,19.1,39.7,6.9,7.7,36,64.7,36.3,32.9,30.9,26.9,9.7,23.9,
Berti, Jon,542932,2022,32,.358,.306,.322,88,4.7,30.7,5.9,5.2,37,65.5,22.3,53,21.5,22.2,3.3,29.6,
Crawford, Brandon,543063,2022,35,.339,.287,.300,88.1,12.3,31,6.7,5.4,35.1,76.2,26.2,47.3,23.6,21.7,7.3,25.3,
Cron, C.J.,543068,2022,32,.438,.321,.306,88.7,14.2,36.8,10.8,5.5,42.3,62.9,33.2,39.2,27.9,26,7,25.2,
Gomes, Yan,543228,2022,34,.379,.287,.278,85.3,9.4,37.9,3.4,6,28.9,70.5,39.1,46.4,21.3,26.8,5.5,26.3,
Grossman, Robbie,543257,2022,32,.305,.281,.307,86.7,21.1,38.5,3.5,7.7,30.4,62.9,19.3,31.8,32.2,27.6,8.4,27.9,
Harrison, Josh,543281,2022,34,.335,.284,.297,87.4,14.7,32,3.8,5.3,32.3,72.9,35.1,43.9,28.2,21.6,6.3,27.1,
Hicks, Aaron,543305,2022,32,.336,.303,.333,87.9,14.8,25.2,5.8,2.9,33.1,62.4,20.6,44.6,23.7,20.5,11.2,27.9,
Higashioka, Kyle,543309,2022,32,.444,.317,.291,90.9,17.2,36.6,9.8,4.9,48.1,72.2,28.5,36.1,28.4,25.1,10.4,25.9,
Hosmer, Eric,543333,2022,32,.379,.311,.327,88.4,3.1,29.3,5.7,5.7,39.7,67,33.8,57.1,15.1,21.5,6.3,25.8,
McCann, James,543510,2022,32,.414,.311,.298,90.2,16.3,33.8,6.9,9.2,40.8,68.9,35,36.9,30.8,26.2,6.2,26.1,
Miller, Brad,543543,2022,32,.344,.269,.264,91.1,14.1,27.5,7.8,4.6,39.9,71.7,30.1,42.5,28.1,19.6,9.8,27.1,
Nola, Austin,543592,2022,32,.351,.305,.330,89.4,12,35.4,2.4,6.7,39.7,63,20.6,42.4,24.2,27.3,6.1,26.4,
Rendon, Anthony,543685,2022,32,.392,.331,.343,89.6,18.7,42.1,8.3,6.8,37.6,68.2,18.6,35.3,30.1,26.3,8.3,26.2,
Semien, Marcus,543760,2022,31,.394,.306,.301,87.3,19.9,32.4,6.8,6.2,34.9,71.1,24.8,33.6,34,21.8,10.6,28.9,
Springer III, George,543807,2022,32,.438,.342,.342,88.7,13.9,31.8,8.4,7.2,42.3,77.4,25.6,44.3,24.4,21.8,9.6,28.3,
Vazquez, Christian,543877,2022,31,.375,.301,.306,87.9,10.7,36.1,5.1,3.6,36.4,66.5,31.9,45.2,22.6,25.9,6.3,25.5,
Wong, Kolten,543939,2022,31,.353,.305,.327,87,14,33.5,5.4,6.3,35.5,64.2,22,43.6,23.5,25.2,7.7,26.0,
Gregorius, Didi,544369,2022,32,.327,.275,.288,84.5,15.8,33.3,2.8,5,22.8,81.6,41.1,41.7,26.7,22.8,8.9,27.3,
Garcia, Leury,544725,2022,31,.325,.258,.258,87,6.2,30,4.2,3.3,35.6,75.9,35.9,53.3,21.7,20.8,4.2,28.4,
Vargas, Ildemaro,545121,2022,30,.305,.255,.265,87,7.4,28.2,2.1,4.3,29.3,64.7,30.7,48.9,22.9,22.3,5.9,27.1,
Grichuk, Randal,545341,2022,30,.370,.281,.271,90,8.7,27.3,6.8,6.6,43.6,69.4,32.7,50.4,26,18.1,5.5,28.0,
Stassi, Max,545358,2022,31,.325,.266,.268,88.6,9.5,26,9.4,4.9,39.5,66.2,21.1,52,25.6,14.8,7.6,25.6,
Trout, Mike,545361,2022,30,.583,.395,.354,91.6,24.6,37.7,19.7,7,51,64.8,22.6,25,44.7,21.3,9,29.4,
Herrera, Odubel,546318,2022,30,.348,.272,.268,86.9,4,24.3,4.9,3.5,37.5,68.6,38.5,57.6,17.4,17.4,7.6,26.9,
Almora Jr., Albert,546991,2022,28,.307,.270,.292,84,6.7,29.8,1.8,4.1,25.4,67.8,36.5,50.9,18.1,23.4,7.6,27.6,
Harper, Bryce,547180,2022,29,.527,.380,.369,92.1,11.8,37.2,12.8,6.2,47.9,82.1,35.7,42.1,25.9,29.7,2.4,27.6,
Abreu, Jose,547989,2022,35,.486,.373,.372,92.2,8,34.5,9.5,7.7,51.8,66.1,29.8,47.7,24,25.1,3.2,26.0,
Diaz, Elias,553869,2022,31,.339,.274,.278,88.4,11.1,28.3,5.9,5.1,39.3,72.4,33.2,47.8,22.8,21,8.5,26.1,
Narvaez, Omar,553882,2022,30,.293,.268,.294,84.7,17.7,36.7,2.4,4.8,18.4,73.5,27.8,36.2,34.8,24.2,4.8,24.1,
Suarez, Eugenio,553993,2022,30,.454,.339,.321,89.8,19.9,36.4,14.8,7.4,43.5,63.6,21.5,34.1,39.2,20.7,6,25.7,
Urshela, Gio,570482,2022,30,.416,.323,.324,88.9,11.8,38.6,7,6.6,37.6,71.2,36.1,41.7,23.8,30.1,4.4,25.8,
Schoop, Jonathan,570731,2022,30,.338,.268,.267,87,9.7,29.1,4.8,6.6,38.6,75.2,36.8,45.2,20.6,24.3,9.8,27.0,
Arenado, Nolan,571448,2022,31,.445,.339,.335,88.7,21.7,35.4,8.2,7.8,38.9,66.9,32.6,30.5,29,26.2,14.3,25.5,
Barnhart, Tucker,571466,2022,31,.264,.244,.269,84.5,10.1,30.3,1.9,2.9,26,65.7,25.4,54.3,17.3,21.6,6.7,23.8,
Farmer, Kyle,571657,2022,31,.380,.311,.320,85.5,12.7,37.7,4.4,6.9,33.8,64.7,36.3,45.3,23.4,25.5,5.7,26.8,
Haniger, Mitch,571745,2022,31,.450,.328,.309,91.9,18.2,31.1,11.8,8.1,47.2,65.7,26.4,37.3,29.2,23,10.6,26.9,
Hernandez, Enrique,571771,2022,30,.356,.296,.308,87.8,17.1,33.3,5.8,3.4,35,70.7,27.2,39.8,22.1,23.5,14.6,26.9,
Lamb, Jake,571875,2022,31,.390,.314,.314,91.5,15,35.6,11.9,6.8,44.1,63.5,23.8,37.3,33.9,22,6.8,26.1,
Maile, Luke,571912,2022,31,.301,.263,.278,84.5,17,33.8,5.4,6.9,25.4,65,24.3,37.7,32.3,20.8,9.2,25.5,
Muncy, Max,571970,2022,31,.417,.339,.342,90.3,20.9,34.3,13.4,10.3,45.6,60.4,16.5,32.5,39.5,20.1,7.9,27.2,
Myers, Wil,571976,2022,31,.373,.288,.285,88.5,13,37.6,7.3,7.9,37.6,61.5,29.7,41.6,26.4,26.4,5.6,28.2,
Naquin, Tyler,571980,2022,31,.433,.317,.299,90.3,14.4,39.9,9.6,6.9,40.8,79.4,37.8,40.4,29.4,24.3,6,27.7,
Piscotty, Stephen,572039,2022,31,.353,.275,.278,90.4,10.4,42.5,6.3,7.5,46.3,75.2,39,45,20,31.3,3.8,25.0,
Pollock, AJ,572041,2022,34,.419,.317,.305,88.8,11.6,32.9,9.4,5.8,42,74.1,34,45.3,22,23,9.6,27.8,
Taylor, Michael A.,572191,2022,31,.358,.289,.288,86.3,12.1,33.5,6.8,4.8,32.9,73.1,31.4,42.3,28.1,21,8.7,28.7,
Thompson, Trayce,572204,2022,31,.496,.366,.350,92.2,16.4,45.3,16.4,7.8,46.9,66,23.3,31.3,32,31.3,5.5,27.8,
Voit III, Luke,572228,2022,31,.434,.322,.306,89.8,18.4,34.6,14.7,8.3,44.3,78.1,30.6,34.9,34.9,24.8,5.5,24.7,
Walker, Christian,572233,2022,31,.484,.359,.343,90,17,33.3,11.5,6.5,44,67.9,23.1,39.2,30.9,21.4,8.5,26.6,
Zunino, Mike,572287,2022,31,.329,.252,.232,91.8,20.8,34.3,8.6,12.9,41.4,67.3,37.1,28.6,37.1,25.7,8.6,25.5,
Carpenter, Matt,572761,2022,36,.485,.362,.351,89.8,22.4,41.1,13.7,9.5,42.1,63.2,16.6,27.4,40,25.3,7.4,26.1,
Dickerson, Corey,572816,2022,33,.371,.292,.297,87.7,10.6,33.2,3.8,3.8,32.8,76.3,40.8,46.8,20.9,25.1,7.2,27.0,
Ruf, Darin,573131,2022,35,.371,.310,.321,89.2,14.8,34.5,8.6,8.2,40.5,56.8,24.1,41.8,29.7,20.7,7.8,25.7,
Yastrzemski, Mike,573262,2022,31,.392,.314,.313,89.9,19.9,36.2,11.1,5.1,42.5,63.4,22.2,34.8,31.9,23.6,9.7,27.0,
Contreras, Willson,575929,2022,30,.463,.364,.362,90.4,8.5,30.2,10.5,8.3,48.6,73.1,31.8,51.1,22.9,20.3,5.7,27.6,
Iglesias, Jose,578428,2022,32,.323,.281,.304,83.8,6,30.6,0.5,2.3,27.7,63.4,41.3,53.4,16.8,25.4,4.4,28.4,
Bryant, Kris,592178,2022,30,.426,.344,.352,85,13.5,31.9,6.7,3.7,29.6,72.7,24.2,38.5,34.1,22.2,5.2,27.3,
Canha, Mark,592192,2022,33,.362,.323,.351,87.7,10.9,32.2,4.9,6.8,36.6,61,24.3,46.1,24.7,23.3,6,27.5,
Casali, Curt,592200,2022,33,.325,.289,.309,87.1,25.4,35,6,6,39,71.2,23.2,28,36,23,13,24.6,
Castellanos, Nick,592206,2022,30,.395,.302,.293,87.5,14.6,36.9,6.6,6.1,35.1,76.8,39.6,42.9,28.5,22,6.6,27.7,
Drury, Brandon,592273,2022,29,.420,.316,.303,89.1,13.8,34.8,10.4,7.3,42.2,62.5,30.1,40.9,28.3,24,6.8,27.0,
Gamel, Ben,592325,2022,30,.372,.316,.335,88.8,11.3,38,6.2,6.2,37.6,64.9,23.7,43.4,25.9,26.3,4.4,27.9,
Judge, Aaron,592450,2022,30,.706,.463,.422,95.9,15,39,26.5,7.2,61.8,66.1,22.9,37,38.3,22.3,2.5,27.3,
Machado, Manny,592518,2022,29,.447,.338,.338,91.5,16,36.7,9.8,9.8,49,74.4,30.7,37.6,23.7,29.1,9.6,26.3,
Moran, Colin,592567,2022,29,.383,.318,.328,90.4,10.3,30.5,8.5,7.3,39,73.6,30.8,50,28,20.7,1.2,24.0,
Pederson, Joc,592626,2022,30,.502,.367,.348,93.2,14.8,34.2,15.1,5.6,52.1,65,29.6,37.3,33.8,22.9,6,26.0,
Realmuto, J.T.,592663,2022,31,.463,.351,.342,90.3,13.1,35.6,11.3,6.7,47.2,67.7,31,44.6,25.6,24.1,5.6,28.8,
Renfroe, Hunter,592669,2022,30,.438,.323,.303,90.5,17.7,32.7,10.9,6.4,43.6,66.2,31.8,37.4,30.2,21.5,10.9,27.1,
Rosario, Eddie,592696,2022,30,.318,.250,.249,87.7,15.2,32.4,5.4,5.9,33,70.2,40.4,39.5,30.3,23.8,6.5,27.6,
Yelich, Christian,592885,2022,30,.404,.339,.360,91.5,3.6,30.3,8.2,6.7,48.6,65.4,23.2,59.1,18,19.7,3.1,28.1,
Merrifield, Whit,593160,2022,33,.356,.288,.292,87.1,15.1,37.9,4.2,7.3,31.1,71.4,29.8,41.2,28.8,22.2,7.7,28.7,
Bogaerts, Xander,593428,2022,29,.383,.323,.338,88.1,10.2,30.3,6.5,4.9,39.5,63.5,29.2,46.6,21.1,25.8,6.5,27.9,
Alberto, Hanser,593643,2022,29,.304,.234,.231,82.9,10.8,30.5,1.5,6.9,18.3,76.4,47.6,50.4,26,19.8,3.8,26.0,
Polanco, Jorge,593871,2022,28,.451,.358,.361,89,21.7,37.7,10.2,6.3,38.7,61.1,25.2,30.6,34.9,25.4,9.2,28.2,
Calhoun, Kole,594777,2022,34,.382,.294,.284,90.8,15.4,40.4,9.8,8.6,48.2,78.4,32.3,38,26.3,27.1,8.6,25.3,
Duvall, Adam,594807,2022,33,.395,.293,.274,88.3,23.4,36.2,12.8,7.4,41,67.4,34.3,29.3,38.8,20.7,11.2,27.9,
Kiermaier, Kevin,595281,2022,32,.388,.305,.301,87.9,5.3,33.8,6.9,4.8,38.6,75.2,27.9,52.4,23.4,20.7,3.4,29.2,
Alfaro, Jorge,595751,2022,29,.397,.295,.278,89.4,8,38.5,11.2,4.3,38.5,80.8,46,47.2,23,26.7,3.1,28.7,
Profar, Jurickson,595777,2022,29,.359,.315,.340,87.5,12.9,34.7,4,4.6,34.3,64.2,23.7,44.8,22.8,25.7,6.7,26.6,
Baez, Javier,595879,2022,29,.378,.285,.272,87.9,9.6,29.7,8,4.9,38,67.9,47.5,50.6,22.9,20.4,6.1,27.9,
Cave, Jake,595909,2022,29,.395,.285,.261,90.7,14.4,38.5,10.3,9.4,42.7,73,30.6,36.8,39.3,22.2,1.7,28.0,
Hedges, Austin,595978,2022,29,.264,.240,.260,84.2,16.7,31.9,3.1,4.4,22.3,68.4,28.5,40.6,24,23.6,11.8,24.5,
Lindor, Francisco,596019,2022,28,.427,.331,.326,89.3,13.8,29.2,8.3,6.2,41.3,68.1,29.9,43.5,27.6,20.4,8.5,27.5,
Odor, Rougned,596059,2022,28,.339,.277,.279,87.8,21.5,30.5,6.5,5.6,33.3,72.9,30.9,32.4,29,22.7,15.9,27.0,
Slater, Austin,596103,2022,29,.429,.351,.363,89,6.6,43.2,10.5,6.8,39.5,67.3,26.5,53.7,19.5,25.3,1.6,28.2,
Story, Trevor,596115,2022,29,.397,.301,.290,88.9,17.8,36,11.3,7.1,40.6,69,33.1,35.1,28.9,24.3,11.7,28.5,
Stubbs, Garrett,596117,2022,29,.299,.275,.300,85.2,15.2,33.8,5.2,5.2,27.3,51.9,28,46.8,20.8,22.1,10.4,27.3,
Vogelbach, Daniel,596129,2022,29,.428,.350,.360,89.4,15.8,38.1,10.6,7.7,39.9,45.5,20.5,38.1,29.7,24.9,7.3,23.9,
Sanchez, Gary,596142,2022,29,.439,.321,.298,90.5,14,29.2,13.5,5.9,49.3,60.7,28.7,43.8,29.9,18.4,8,25.1,
Kepler, Max,596146,2022,29,.412,.338,.353,89.1,11.2,31.9,7.1,5.2,39.9,70.5,23.5,46.6,24.5,23.3,5.5,27.9,
Franco, Maikel,596748,2022,29,.351,.272,.270,87,11.5,33.1,4.7,5.7,34.4,68.3,38.5,44.5,21.1,24.1,10.4,25.5,
Choi, Ji-Man,596847,2022,31,.413,.337,.347,92.2,10.6,37.3,11.9,8.1,47.5,67.5,19.9,46.6,25,23.7,4.7,25.0,
Bradley Jr., Jackie,598265,2022,32,.330,.268,.273,87.6,7.4,29.4,4.8,7.4,37.2,69.7,28.6,51.3,21.2,21.2,6.3,27.0,
La Stella, Tommy,600303,2022,33,.329,.267,.276,87.9,14.6,37.3,2,6.5,32,53.1,27.6,39.2,24.8,28.1,7.8,24.9,
Candelario, Jeimer,600869,2022,28,.379,.292,.284,87.2,13.5,37,8.3,4,34.6,74.5,33.6,42.6,24.1,24.4,9,27.3,
Daza, Yonathan,602074,2022,28,.351,.308,.333,84.8,4.6,34.1,1.9,2.5,25,66.1,35.7,55.6,17.8,24.4,2.2,28.2,
Urias, Ramon,602104,2022,28,.420,.320,.309,89.4,11,32.1,9.6,5.4,46.5,70.8,29,47.8,24.4,20.5,7.4,26.7,
Anderson, Brian,605119,2022,29,.379,.309,.317,88.7,7.7,31.1,9.7,4.2,42,73.9,29,51.3,22.3,21.4,5,27.5,
Barnes, Austin,605131,2022,32,.329,.298,.323,87.4,13.6,31,4.8,5.5,35.2,65.9,15.3,43.4,29,20,7.6,26.6,
Bell, Josh,605137,2022,29,.424,.349,.369,88.9,8.4,30.7,7.2,3.7,40.8,68.8,24.9,50.7,19.7,24.1,5.7,26.2,
